City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,san luis de la loma,17.2706,-100.8939,26.76,76,32,3.0,MX,1689251499
292,kayyerkan,69.3786,87.7439,7.39,87,100,1.82,RU,1689251500
293,glace bay,46.1969,-59.957,19.32,98,100,3.58,CA,1689251500
294,albion,42.2431,-84.753,16.98,93,100,2.06,US,1689251501
295,motueka,-41.1333,173.0167,9.5,85,98,1.92,NZ,1689251501
296,port mathurin,-19.6833,63.4167,24.04,79,6,7.28,MU,1689251502
297,lazaro cardenas,17.9583,-102.2,25.74,84,23,1.81,MX,1689251503
298,howrah,22.5892,88.3103,32.0,14,75,5.14,IN,1689251503
299,podporozh'ye,60.9112,34.1706,14.81,84,100,0.46,RU,1689251504
300,gamboma,-1.8764,15.8644,35.88,20,2,2.43,CG,1689251504
301,zouerate,22.7187,-12.4521,46.37,5,5,7.55,MR,1689251505
302,ambodifotatra,-16.9833,49.85,23.88,72,95,12.06,MG,1689251505
303,manismata,-2.4667,111.0333,24.36,88,100,1.26,ID,1689251506
304,kingston,17.997,-76.7936,29.02,80,20,2.06,JM,1689251308
305,chake chake,-5.2459,39.7666,26.01,65,98,7.15,TZ,1689251507
306,luganville,-15.5333,167.1667,24.09,80,99,5.69,VU,1689251508
307,qaqortoq,60.7167,-46.0333,6.85,79,18,3.11,GL,1689251508
308,coxim,-18.5067,-54.76,26.88,35,100,3.26,BR,1689251509
309,alice springs,-23.7,133.8833,8.75,71,0,0.0,AU,1689251509
310,awjilah,29.1081,21.2869,36.68,15,0,4.89,LY,1689251510
311,lorengau,-2.0226,147.2712,27.44,80,35,4.81,PG,1689251511
312,caluula,11.9661,50.7569,29.52,74,5,4.53,SO,1689251511
313,usinsk,65.9939,57.5281,21.02,46,100,7.78,RU,1689251512
314,ust-tsilma,65.441,52.1498,15.95,81,88,2.72,RU,1689251277
315,magdagachi,53.45,125.8,22.59,45,10,3.21,RU,1689251513
316,lagunas,-5.2269,-75.6753,26.12,73,11,1.08,PE,1689251513
317,sechura,-5.5569,-80.8222,22.06,76,59,3.99,PE,1689251514
318,ashland,40.8167,-82.2665,23.98,86,51,6.0,US,1689251515
